Latitude,Longitude,Name,geometry.location.lat,geometry.location.lng,name
41.406983,2.1567652,Betahaus | Coworking Barcelona,,,
41.3868865,2.1725053,OneCoWork Plaça Catalunya | Barcelona Coworking,,,
41.3741099,2.1619429,La Vaca Coworking Barcelona,,,
41.3917396,2.1771453,MOB Bailén - Coworking in Barcelona,,,
41.3987757,2.155823,Kubik Barcelona,,,
41.3948339,2.1579685,Meet BCN - Coworking Space in Barcelona,,,
41.3819284,2.1518547,The Office Coworking Barcelona,,,
41.3688837,2.1889494,Norrsken House Barcelona,,,
41.3945415,2.1571174,Cowork Rambla Catalunya - Coworking Barcelona,,,
41.3849907,2.1767637,OneCoWork Catedral | Barcelona Coworking,,,
41.3886355,2.1782502,Coworking space Camaleó,,,
41.3918893,2.1619234,Sitandplug,,,
41.3780247,2.1580196,"Coworking Sant Antoni Barcelona | Fix, Flex y Day Pass",,,
41.397067500000006,2.170017,Aticco Bailén - Coworking Eixample Dreta,,,
41.409976,2.204478,The Social Hub Coworking Barcelona Poblenou,,,
41.3794378,2.1750553,Barcelona Reial Coworking,,,
41.395981,2.1727349,Coworking Transforma bcn,,,
41.4011,2.19774,"Spaces - Barcelona, Spaces 22 Arroba",,,
41.3995176,2.1908934,Wojo Coworking Barcelona Poblenou - Alquiler oficinas y salas de reuniones,,,
41.3958582,2.1717358,Sowo Coworking Barcelona,,,
,,,40.38691,-3.723964,EslabON Coworking
,,,40.3693709,-3.7426362,COWORKING - ALQUILER SALAS - DESPACHOS - CENTRO DE NEGOCIOS Aguacate
,,,40.39111219999999,-3.7012758,Espacio Coworking CC Plaza Río 2
,,,40.3969667,-3.6996101,CO-MA COWORKING
,,,40.3916462,-3.7117388,Coworking La Ebanistería
,,,40.3488939,-3.724116299999999,SoWORK Coworking en Leganés
,,,40.3922666,-3.7246678,ACCESS POINT COWORKING
,,,40.3853893,-3.7056078,Espacio Oculto Madrid
,,,40.3951538,-3.7002199,El coworking de altamarea
,,,40.3506665,-3.7235092,Coworking La Guarida Creativa Leganés
,,,40.4166515,-3.6988242,JERÓNIMO by Bonsai (Coworking Space)
,,,40.3971345,-3.6917148,Area Coworking
,,,40.398326,-3.6863441,Talent Garden Madrid
