word,weight_freeland,weight_talent,weight_difference
spacious,0.0073529417,0.009901828,0.0025488865
would,0.0073529417,0.009972273,0.0026193317
thank,0.0073529417,0.009980438,0.0026274966
return,0.007352941,0.009985666,0.0026327246
comfortable,0.007352941,0.009987902,0.0026349607
accessible,0.007352941,0.009989291,0.0026363502
office,0.007352943,0.009992044,0.0026391014
place,0.007352941,0.009996952,0.0026440104
helped,0.0073529417,0.009997069,0.0026441272
madrid,0.0073529417,0.010001038,0.0026480965
working,0.007352942,0.010004136,0.0026511936
people,0.0073529417,0.010011029,0.0026580878
great,0.007352941,0.010016137,0.0026631956
kind,0.0073529417,0.010070247,0.002717305
need,0.0073529417,0.0100781135,0.0027251719
different,0.007352941,0.010082988,0.0027300469
day,0.007352943,0.010126198,0.0027732546
space,0.0073529417,0.010133613,0.0027806712
recommend,0.007352941,0.010165165,0.002812224
definitely,0.007352941,0.010264697,0.0029117553
