Name,Address,Latitude,Longitude,Rating,User Rating Count
"WORKVILLE - Flexible Office Space, Conference Center, Coworking & Meeting Room Rental NYC","1412 Broadway 21st Floor, New York, NY 10018, USA",40.753615,-73.9865612,5.0,349
The Farm SoHo NYC - Coworking Office Space and Private Offices,"447 Broadway 2nd floor, New York, NY 10013, USA",40.7205729,-74.00141510000002,4.5,257
Nomadworks,"1216 Broadway, New York, NY 10001, USA",40.7464954,-73.9882611,4.5,182
Rise New York,"43 W 23rd St, New York, NY 10010, USA",40.7424647,-73.991176,4.7,258
Coworking @ Industry City,"237 36th St, Brooklyn, NY 11232, USA",40.656528,-74.00775589999999,4.8,65
WorkHouse NYC,"21 W 46th St 16th Flr, New York, NY 10036, USA",40.7566858,-73.9800174,4.5,49
Bond Collective - 60 Broad,"60 Broad St, New York, NY 10004, USA",40.7052115,-74.0118713,4.9,66
"OASIS by Workville - Conference Center & Corporate Events, Flex Office, Meeting Space Venue & Rooftop","315 W 35th St Floor 11 - 15, New York, NY 10001, USA",40.7533447,-73.9936044,5.0,162
Workspace by Rockefeller Group,"45 Rockefeller Plaza 20th Fl, New York, NY 10111, USA",40.7591686,-73.97749259999999,4.9,58
Primary,"26 Broadway 3rd floor, New York, NY 10004, USA",40.7053557,-74.01302679999999,4.7,121
Croissant,"One World Trade Center, Suite 8500, New York, NY 10007, USA",40.713008,-74.01316899999999,5.0,64
Blender Workspace,"135 Madison Ave Floor 8, New York, NY 10016, USA",40.7459949,-73.9839746,4.6,106
Bond Collective - 55 Broadway,"55 Broadway 3rd floor, New York, NY 10006, USA",40.7067881,-74.0128956,4.7,78
The Yard: Lower East Side Coworking Office Space NYC,"85 Delancey St, New York, NY 10002, USA",40.718728,-73.9896868,4.5,40
Bond Collective - Bushwick,"12 Park St, Brooklyn, NY 11206, USA",40.699249,-73.938367,4.9,111
The Commons,"157 East 86th St 5th floor, New York, NY 10028, USA",40.7794575,-73.95472649999999,4.8,43
Carr Workplaces Central Park - Coworking & Office Space,"745 5th Ave #500, New York, NY 10151, USA",40.7631712,-73.9733933,4.9,37
The New Work Project,"97 N 10th St #2A, Brooklyn, NY 11249, USA",40.7210019,-73.9580849,5.0,126
The Yard: Herald Square Coworking Office Space Manhattan,"106 W 32nd St, New York, NY 10001, USA",40.7485519,-73.9893869,4.4,83
Based In Coworking and Event Space,"49-51 Elizabeth St 4th floor, New York, NY 10013, USA",40.717187,-73.996865,4.7,26
