Place Name,Score
"WORKVILLE - Flexible Office Space, Conference Center, Coworking & Meeting Room Rental NYC",1.0
The Farm SoHo NYC - Coworking Office Space and Private Offices,0.8509169054441261
Nomadworks,0.7864469914040114
Rise New York,0.8797765042979943
Coworking @ Industry City,0.7278739255014326
WorkHouse NYC,0.6721203438395416
Bond Collective - 60 Broad,0.7427335243553009
"OASIS by Workville - Conference Center & Corporate Events, Flex Office, Meeting Space Venue & Rooftop",0.8392550143266475
Workspace by Rockefeller Group,0.7358567335243553
Primary,0.7620114613180516
Croissant,0.7550143266475644
Blender Workspace,0.7351174785100285
Bond Collective - 55 Broadway,0.7250487106017193
The Yard: Lower East Side Coworking Office Space NYC,0.6643839541547278
Bond Collective - Bushwick,0.7814154727793696
The Commons,0.7089627507163323
Carr Workplaces Central Park - Coworking & Office Space,0.7178051575931232
The New Work Project,0.8083094555873925
The Yard: Herald Square Coworking Office Space Manhattan,0.6873467048710602
Based In Coworking and Event Space,0.6803495702005731
