Place Name,Score,Latitude,Longitude,City,distance_from_center
Betahaus | Coworking Barcelona,0.972,41.406983,2.1567652,Barcelona,2.389523456748684
OneCoWork Plaça Catalunya | Barcelona Coworking,0.9116907216494844,41.3868865,2.1725053,Barcelona,0.3315842414099898
La Vaca Coworking Barcelona,0.8150412371134019,41.3741099,2.1619429,Barcelona,1.5775663206484154
MOB Bailén - Coworking in Barcelona,0.8017319587628865,41.3917396,2.1771453,Barcelona,0.8620317736470257
Kubik Barcelona,0.6951134020618557,41.3987757,2.155823,Barcelona,1.6547071982515145
Meet BCN - Coworking Space in Barcelona,0.7176185567010308,41.3948339,2.1579685,Barcelona,1.2133754451748773
The Office Coworking Barcelona,0.6788762886597939,41.3819284,2.1518547,Barcelona,1.5267903617942598
Norrsken House Barcelona,0.722340206185567,41.3688837,2.1889494,Barcelona,2.669589551039003
Cowork Rambla Catalunya - Coworking Barcelona,0.7393505154639176,41.3945415,2.1571174,Barcelona,1.245540030495729
OneCoWork Catedral | Barcelona Coworking,0.8305051546391752,41.3849907,2.1767637,Barcelona,0.7333863136465554
Coworking space Camaleó,0.8219175257731959,41.3886355,2.1782502,Barcelona,0.8187217274152917
Sitandplug,0.7207938144329897,41.3918893,2.1619234,Barcelona,0.7486109876939603
"Coworking Sant Antoni Barcelona | Fix, Flex y Day Pass",0.7432989690721649,41.3780247,2.1580196,Barcelona,1.3665349732170546
Aticco Bailén - Coworking Eixample Dreta,0.7231958762886598,41.3970675,2.170017,Barcelona,1.0802075921442151
The Social Hub Coworking Barcelona Poblenou,0.7163505154639175,41.409976,2.204478,Barcelona,3.910080152186215
Barcelona Reial Coworking,0.6245051546391752,41.3794378,2.1750553,Barcelona,1.0361120588707735
Coworking Transforma bcn,0.8096288659793813,41.395981,2.1727349,Barcelona,1.0138234434533655
"Spaces - Barcelona, Spaces 22 Arroba",0.6614536082474226,41.4011,2.19774,Barcelona,2.873015717409521
Wojo Coworking Barcelona Poblenou - Alquiler oficinas y salas de reuniones,0.7515567010309279,41.3995176,2.1908934,Barcelona,2.2994325293312587
Sowo Coworking Barcelona,0.7051649484536082,41.3958582,2.1717358,Barcelona,0.9753036984593996
EslabON Coworking,0.7627441860465117,40.38691,-3.723964,Madrid,3.7344621310719894
COWORKING - ALQUILER SALAS - DESPACHOS - CENTRO DE NEGOCIOS Aguacate,0.7167441860465116,40.3693709,-3.7426362,Madrid,6.213650187686413
Espacio Coworking CC Plaza Río 2,0.583767441860465,40.3911122,-3.7012758,Madrid,2.8604719973658583
CO-MA COWORKING,0.709767441860465,40.3969667,-3.6996101,Madrid,2.230871587283842
Coworking La Ebanistería,0.7153488372093023,40.3916462,-3.7117388,Madrid,2.8732870362502636
SoWORK Coworking en Leganés,0.7166976744186047,40.3488939,-3.7241163,Madrid,7.735259840690521
ACCESS POINT COWORKING,0.7125116279069768,40.3922666,-3.7246678,Madrid,3.2495326282440673
Espacio Oculto Madrid,0.7152093023255814,40.3853893,-3.7056078,Madrid,3.4912926046917327
El coworking de altamarea,0.7083720930232558,40.3951538,-3.7002199,Madrid,2.422782308749952
Coworking La Guarida Creativa Leganés,0.7167441860465116,40.3506665,-3.7235092,Madrid,7.531886025109653
JERÓNIMO by Bonsai (Coworking Space),0.7026046511627906,40.4166515,-3.6988242,Madrid,0.42263035034256474
Area Coworking,0.7376279069767442,40.3971345,-3.6917148,Madrid,2.412661705208671
Talent Garden Madrid,0.93,40.398326,-3.6863441,Madrid,2.530563245882896
The Small House CoWorKing,0.7167441860465116,40.4060106,-3.6728029,Madrid,2.8909524350776645
MODO Coworking,0.7236279069767442,40.4054792,-3.6780491,Madrid,2.521440959970866
Freeland,0.8980465116279068,40.3985851,-3.6717447,Madrid,3.390389013913616
Coworking LOOM Huertas,0.7793488372093023,40.414036,-3.700693,Madrid,0.40464894181567285
Manual - Casa Creativa,0.713860465116279,40.4087857,-3.6999598,Madrid,0.9477413978491243
"WORKVILLE - Flexible Office Space, Conference Center, Coworking & Meeting Room Rental NYC",1.0,40.753615,-73.9865612,New York,4.820738652815306
The Farm SoHo NYC - Coworking Office Space and Private Offices,0.8509169054441261,40.7205729,-74.0014151,New York,0.9461169136795791
Nomadworks,0.7864469914040114,40.7464954,-73.9882611,New York,4.030748635639399
Rise New York,0.8797765042979943,40.7424647,-73.991176,New York,3.5242406924445833
Coworking @ Industry City,0.7278739255014326,40.656528,-74.0077559,New York,6.250645497404254
WorkHouse NYC,0.6721203438395416,40.7566858,-73.9800174,New York,5.344882286365895
Bond Collective - 60 Broad,0.7427335243553009,40.7052115,-74.0118713,New York,0.9779009216104947
"OASIS by Workville - Conference Center & Corporate Events, Flex Office, Meeting Space Venue & Rooftop",0.8392550143266475,40.7533447,-73.9936044,New York,4.622593824882448
Workspace by Rockefeller Group,0.7358567335243553,40.7591686,-73.9774926,New York,5.68441667122409
Primary,0.7620114613180516,40.7053557,-74.0130268,New York,1.0178332623163324
Croissant,0.7550143266475644,40.713008,-74.013169,New York,0.6062149425212047
Blender Workspace,0.7351174785100285,40.7459949,-73.9839746,New York,4.129228483488226
