name,City,Country,Neighborhood,Percentage of population between 16 and 64 years,Transport,Day Pass,Month Pass,Rating,User Rating Count,Weighted Rating,Score,Barcelona,Madrid,New York,Tokyo,Adelfas,Akasaka,Ciutat Vella,Cortes,Delicias,Gràcia,Higashishinjuku,Midtown,Nishiogi,Opañel,Sants-Montjuic,Shibuya,Shinbashi,SoHo,Williansburg,log_population,log_income,log_distance,income_per_capita
"WORKVILLE - Flexible Office Space, Conference Center, Coworking & Meeting Room Rental NYC",New York,USA,Midtown,0.7,6,49.0,300.0,5.0,349,1745.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553769171579904,1.0,0.6000363093869052,0.2049234517578725
Rise New York,New York,USA,Midtown,0.7,6,0.0,250.0,4.7,258,1212.6,0.879776504297994,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553769171579904,1.0,0.49753483639650925,0.2049234517578725
The Farm SoHo NYC - Coworking Office Space and Private Offices,New York,USA,SoHo,0.7,4,29.0,179.0,4.5,257,1156.5,0.850916905444126,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.024997502487152712,0.960482320362054,0.15436261739460766,1.0
"OASIS by Workville - Conference Center & Corporate Events, Flex Office, Meeting Space Venue & Rooftop",New York,USA,Midtown,0.7,6,49.0,350.0,5.0,162,810.0,0.839255014326648,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553769171579904,1.0,0.5859475702330554,0.2049234517578725
The New Work Project,New York,USA,Williansburg,0.6,2,40.0,370.0,5.0,126,630.0,0.808309455587393,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.835213528670598,0.7119875330769334,0.5502119981474758,0.03075278165480813
Betahaus | Coworking Barcelona,Barcelona,Spain,Gràcia,0.66,1,28.99,398.55,4.8,388,1862.4,0.972,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7978348283343566,0.2734806054965464,0.3800704627646541,0.0021602325615013955
OneCoWork Plaça Catalunya | Barcelona Coworking,Barcelona,Spain,Ciutat Vella,0.75,5,36.23,340.58,4.8,310,1488.0,0.911690721649484,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47117536377409364,0.0,0.0,0.010156115662609991
OneCoWork Catedral | Barcelona Coworking,Barcelona,Spain,Ciutat Vella,0.75,5,36.23,384.06,4.8,205,984.0,0.830505154639175,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47117536377409364,0.0,0.10727314093863688,0.010156115662609991
Coworking space Camaleó,Barcelona,Spain,Ciutat Vella,0.75,3,36.23,289.86,4.7,212,996.4,0.821917525773196,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47117536377409364,0.0,0.12682217027055262,0.010156115662609991
La Vaca Coworking Barcelona,Barcelona,Spain,Sants-Montjuic,0.63,2,31.88,347.83,4.8,185,888.0,0.815041237113402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4290866390005359,0.17037980071483272,0.26867404952599927,0.029004661063617043
