Place Name,Score
"Coworka - Endereço Fiscal, Comercial, Virtual e Coworking com Salas de Reunião",0.7920982735723772
iSpaces Coworking - São Paulo,0.7024568393094289
Coworking Higienopolis,0.6870066401062417
WeWork Sala Comercial & Coworking,0.7207490039840638
Google Campus São Paulo,0.972
Coworking Av Paulista WORKINGSP Office Service,0.691112881806109
Coworking Smart - Paulista I,0.7043824701195218
Creative Space Coworking,0.7015272244355909
Coworking Offices Vila Olimpia,0.6982841965471448
491 Coworking,0.7065737051792829
Rocket N Coworking,0.690980079681275
Mango Tree Coworking,0.6972217795484729
"Spaces - Sao Paulo, Spaces - Vila Madalena - Pinheiros",0.6668419654714475
Easily Work Coworking,0.7073041168658698
818 Coworking,0.7030544488711818
Be Coworking - Higienópolis,0.688523240371846
Sextante Coworking,0.691245683930943
Bendito Coworking - Unidade Al. Santos,0.6768472775564408
Coworking Smart - Paulista II,0.7035192563081009
Casa Coworking,0.6946985391766268
