Name,Address,Latitude,Longitude,Rating,User Rating Count
WeWork Shibuya Scramble Square,"39F, Shibuya-ku, ２丁目-２４-12 渋谷 渋谷区 東京都 150-6139, Japan",35.6584107,139.70224059999998,4.2,82
Tokyo Chapter - ninetytwo13,"9-chōme-2-13 Akasaka, Minato City, Tokyo 107-0052, Japan",35.6680481,139.7321217,4.4,25
.andwork shibuya,"Japan, 〒150-0041 Tokyo, Shibuya, Jinnan, 1-chōme−20−１３ The Millennials 渋谷内",35.6622153,139.69963389999998,4.0,28
CASE Shinjuku,"Japan, 〒169-0075 Tokyo, Shinjuku City, Takadanobaba, 1-chōme−28−１０ 三慶ビル 4F バンフォーレ",35.7120933,139.7047394,4.3,65
WeWork TOKYO SQUARE GARDEN,"14F, ３丁目-１-1 京橋 中央区 東京都 104-0031, Japan",35.6761153,139.7686644,4.2,43
【法人登記可】コワーキングスペースfactoria nishiogi,"コメットビル 6F, 2-chōme-3-9 Nishiogikita, Suginami City, Tokyo 167-0042, Japan",35.7047587,139.6008598,4.9,47
LULL TECH BEACH shibuya coworking space,"Japan, 〒150-0002 Tokyo, Shibuya, 3-chōme−10−１３, Tokyu Reit Shibuya R Building, B1",35.656832,139.7051383,4.8,86
Impact HUB Tokyo,"2-chōme-11-3 Meguro, Meguro City, Tokyo 153-0063, Japan",35.6338465,139.7082072,4.1,111
RYOZAN PARK 巣鴨（GRAND）,"Japan, 〒170-0002 Tokyo, Toshima City, Sugamo, 1-chōme−9−１ グランド東邦ビル",35.7326273,139.7412732,4.2,37
BLINK Roppongi,"3-chōme-1-6 Motoazabu, Minato City, Tokyo 106-0046, Japan",35.658203,139.7283009,4.6,82
AWS Startup Loft Tokyo,"Japan, 〒141-0021 Tokyo, Shinagawa City, Kamiōsaki, 3-chōme−1−１ 目黒セントラルスクエア 17F アマゾン新目黒オフィス",35.633345500000004,139.7165887,4.6,141
Pasela Co-work Higashishinjuku,"7-chōme-26-7 Shinjuku, Shinjuku City, Tokyo 160-0022, Japan",35.6980541,139.7093684,4.2,248
TOKYOシェアオフィス墨田,"3-chōme-15-5 Honjo, Sumida City, Tokyo 130-0004, Japan",35.7035819,139.80264599999998,4.7,50
Gotanda co-working space pao pao,"2-chōme-8-5 Higashigotanda, Shinagawa City, Tokyo 141-0022, Japan",35.624771599999995,139.7254332,4.1,71
WeWork LINK SQUARE SHINJUKU,"16F, ５丁目-２７-5 千駄ケ谷 渋谷区 東京都 151-0051, Japan",35.686504,139.70288990000003,4.0,60
SHIBUYA QWS,"Japan, 〒150-0002 Tokyo, Shibuya, 2-chōme−24−１２ スクランブルスクエア 15F",35.6584638,139.70226209999998,4.5,43
SYCL by KEIO,"Japan, 〒155-0031 Tokyo, Setagaya City, Kitazawa, 2-chōme−11−１５ ミカン下北A街区 4F",35.6611668,139.6687076,4.9,13
WeWork Iceberg,"1F, ６丁目-１２-18 神宮前 渋谷区 東京都 150-0001, Japan",35.666335499999995,139.7042701,4.0,180
Basis Point Shinbashi,"Japan, 〒105-0004 Tokyo, Minato City, Shinbashi, 2-chōme−19−３ カシケイビル 2F",35.6668382,139.759638,4.3,328
S-TOKYO,"Japan, 〒103-0001 Tokyo, Chuo City, Nihonbashikodenmachō, 16−５ S-TOKYO",35.6922101,139.7794247,4.9,27
