word,weight_freeland,weight_talent,weight_difference
great,0.011486018,0.0073529417,0.0041330764
owner,0.011486054,0.007352941,0.004133113
interior,0.011486175,0.007352941,0.0041332333
distraction,0.011486724,0.007352941,0.004133783
project,0.011487303,0.007352941,0.004134362
worked,0.011487365,0.007352941,0.0041344236
recommended,0.011488531,0.007352941,0.0041355896
idea,0.011490319,0.007352941,0.0041373777
best,0.011490519,0.007352941,0.004137578
team,0.011490529,0.007352941,0.004137588
genuine,0.011490666,0.0073529407,0.0041377256
need,0.011490938,0.007352942,0.004137996
would,0.011491101,0.0073529417,0.0041381596
feel,0.011491119,0.007352942,0.004138177
individual,0.011491593,0.007352941,0.004138652
rent,0.0114918845,0.007352941,0.0041389433
strike,0.01149214,0.007352941,0.0041391985
well,0.011492617,0.007352941,0.004139676
privacy,0.011492686,0.007352941,0.004139745
approach,0.01149343,0.007352941,0.0041404883
desk,0.011493438,0.007352941,0.0041404967
attention,0.011493711,0.007352941,0.0041407696
detail,0.011494027,0.007352941,0.0041410862
cause,0.011494644,0.007352941,0.004141703
interaction,0.011494712,0.007352941,0.004141771
frill,0.011494716,0.007352941,0.0041417745
fellow,0.011494779,0.007352941,0.004141838
enough,0.011494836,0.007352941,0.0041418946
reasonable,0.011494984,0.007352941,0.0041420427
pancho,0.011495244,0.007352941,0.0041423026
balance,0.0114954235,0.007352941,0.0041424823
help,0.011495674,0.007352941,0.004142733
make,0.011497593,0.0073529417,0.004144651
without,0.011497651,0.007352941,0.00414471
interest,0.011498098,0.007352941,0.004145157
personal,0.0114990175,0.007352941,0.0041460763
showing,0.011499745,0.007352941,0.0041468036
taken,0.011500101,0.007352941,0.0041471594
comfortable,0.011500132,0.007352941,0.004147191
price,0.011500602,0.007352941,0.0041476605
whatever,0.011501915,0.007352941,0.0041489736
back,0.0115135545,0.007352941,0.0041606133
work,0.011515381,0.007352941,0.0041624396
beyond,0.011515748,0.007352941,0.0041628066
fresh,0.011516096,0.007352941,0.004163155
area,0.011516224,0.007352941,0.0041632825
year,0.011516623,0.0073529417,0.0041636815
im,0.011516632,0.007352941,0.0041636904
lovely,0.011517049,0.007352941,0.0041641076
place,0.011517093,0.007352941,0.0041641514
next,0.011517819,0.0073529417,0.0041648773
return,0.0115179205,0.007352941,0.0041649793
gang,0.011518013,0.007352941,0.0041650715
come,0.0115183955,0.007352941,0.0041654543
morning,0.011520655,0.007352941,0.0041677137
went,0.011520734,0.007352941,0.004167793
enjoyed,0.011520819,0.007352941,0.0041678776
madrid,0.011521051,0.007352942,0.0041681086
took,0.011521051,0.007352941,0.0041681095
located,0.011522291,0.007352942,0.004169349
freeland,0.011523643,0.0073529417,0.004170701
amazing,0.011525409,0.007352941,0.004172468
full,0.011525453,0.0073529417,0.0041725114
nina,0.01152611,0.007352941,0.0041731684
accessible,0.011526252,0.007352941,0.004173311
sure,0.01152701,0.007352941,0.004174069
working,0.011527174,0.007352942,0.004174232
ergonomic,0.0010494248,0.007352941,0.006303516
country,0.0010494246,0.0073529407,0.006303516
tired,0.0010494246,0.0073529407,0.006303516
trouble,0.0010494246,0.007352941,0.0063035167
take,0.0010494246,0.007352941,0.0063035167
social,0.0010494246,0.007352941,0.0063035167
recommend,0.0010494246,0.007352941,0.0063035167
relationship,0.0010494246,0.007352941,0.0063035167
life,0.0010494246,0.007352941,0.0063035167
productivity,0.0010494246,0.007352941,0.0063035167
new,0.0010494246,0.007352941,0.0063035167
sector,0.0010494246,0.007352941,0.0063035167
different,0.0010494246,0.007352941,0.0063035167
say,0.0010494246,0.007352941,0.0063035167
definitely,0.0010494246,0.007352941,0.0063035167
looking,0.0010494246,0.007352941,0.0063035167
like,0.0010494246,0.007352941,0.0063035167
describe,0.0010494246,0.007352941,0.0063035167
anyone,0.0010494246,0.007352941,0.0063035167
collaboration,0.0010494245,0.007352941,0.0063035167
home,0.0010494245,0.007352941,0.0063035167
answer,0.0010494245,0.007352941,0.0063035167
mix,0.0010494245,0.007352941,0.0063035167
workspace,0.0010494246,0.007352941,0.0063035167
choice,0.0010494246,0.007352941,0.0063035167
constantly,0.0010494246,0.007352941,0.0063035167
encourage,0.0010494246,0.007352941,0.0063035167
word,0.0010494245,0.007352941,0.0063035167
inspiring,0.0010494246,0.007352941,0.0063035167
interpersonal,0.0010494246,0.007352941,0.0063035167
installation,0.0010494246,0.007352941,0.0063035167
four,0.0010494246,0.007352941,0.0063035167
francisco,0.0010494246,0.007352941,0.0063035167
freelancer,0.0010494246,0.007352941,0.0063035167
level,0.0010494246,0.007352941,0.0063035167
job,0.0010494246,0.007352941,0.0063035167
functional,0.0010494246,0.007352941,0.0063035167
lighthearted,0.0010494246,0.007352941,0.0063035167
comfort,0.0010494245,0.007352941,0.0063035167
kind,0.0010494246,0.0073529417,0.006303517
